antlr3                         @3.2            lang/antlr3
apache-ant                     @1.9.3          devel/apache-ant
bazaar                         @1.4.2          devel/bazaar
boehmgc                        @7.4.0          devel/boehmgc
bzip2                          @1.0.6          archivers/bzip2
ctags                          @5.8            devel/ctags
curl                           @7.34.0         net/curl
curl-ca-bundle                 @7.34.0         net/curl
cyrus-sasl2                    @2.1.26         security/cyrus-sasl2
db46                           @4.6.21         databases/db46
db_select                      @0.1            sysutils/db_select
expat                          @2.1.0          textproc/expat
fontforge                      @20120731       graphics/fontforge
freetype                       @2.5.2          print/freetype
gauche                         @0.9.3.3        lang/gauche
gawk                           @4.1.0          lang/gawk
gdbm                           @1.11           databases/gdbm
gettext                        @0.18.3.2       devel/gettext
giflib                         @4.2.3          graphics/giflib
glib2                          @2.38.2         devel/glib2
gmp                            @5.1.2          devel/gmp
gnupg                          @1.4.16         mail/gnupg
gnutls                         @3.1.10         devel/gnutls
gperf                          @3.0.4          devel/gperf
gpgme                          @1.4.2          devel/gpgme
gsed                           @4.2.2          textproc/gsed
help2man                       @1.43.3         textproc/help2man
icu                            @51.2           devel/icu
jpeg                           @9              graphics/jpeg
kerberos5                      @1.11.3         net/kerberos5
libassuan                      @2.1.1          devel/libassuan
libcomerr                      @1.42.7         sysutils/e2fsprogs
libedit                        @20121213-3.0   devel/libedit
libevent                       @2.0.21         devel/libevent
libffi                         @3.0.13         devel/libffi
libgcrypt                      @1.5.3          devel/libgcrypt
libgpg-error                   @1.12           devel/libgpg-error
libiconv                       @1.14           textproc/libiconv
libidn                         @1.26           mail/libidn
libpng                         @1.6.8          graphics/libpng
libtasn1                       @2.11           devel/libtasn1
libtool                        @2.4.2          devel/libtool
libuninameslist                @20091231       devel/libuninameslist
libusb                         @1.0.17         devel/libusb
libusb-compat                  @0.1.4          devel/libusb-compat
libxml2                        @2.9.1          textproc/libxml2
libyaml                        @0.1.4          devel/libyaml
lzo2                           @2.06           archivers/lzo2
m4                             @1.4.16         devel/m4
mhash                          @0.9.9.9        devel/mhash
mosh                           @1.2.4          net/mosh
ncurses                        @5.9            devel/ncurses
neon                           @0.30.0         www/neon
nettle                         @2.6            devel/nettle
nspr                           @4.10           devel/nspr
openldap                       @2.4.31         databases/openldap
openssl                        @1.0.1f         devel/openssl
p5.12-attribute-handlers       @0.880.0        perl/p5-attribute-handlers
p5.12-class-load               @0.200.0        perl/p5-class-load
p5.12-class-singleton          @1.400.0        perl/p5-class-singleton
p5.12-cpan-meta-yaml           @0.10.0         perl/p5-cpan-meta-yaml
p5.12-data-optlist             @0.106.0        perl/p5-data-optlist
p5.12-datetime                 @0.750.0        perl/p5-datetime
p5.12-datetime-locale          @0.450.0        perl/p5-datetime-locale
p5.12-datetime-timezone        @1.350.0        perl/p5-datetime-timezone
p5.12-dist-checkconflicts      @0.20.0         perl/p5-dist-checkconflicts
p5.12-extutils-cbuilder        @0.280.205      perl/p5-extutils-cbuilder
p5.12-getopt-long              @2.420.0        perl/p5-getopt-long
p5.12-io-tty                   @1.100.0        perl/p5-io-tty
p5.12-ipc-cmd                  @0.820.0        perl/p5-ipc-cmd
p5.12-json-xs                  @2.230.0        perl/p5-json-xs
p5.12-list-moreutils           @0.330.0        perl/p5-list-moreutils
p5.12-locale-gettext           @1.50.0         perl/p5-locale-gettext
p5.12-locale-maketext-simple   @0.210.0        perl/p5-locale-maketext-simple
p5.12-math-round               @0.60.0         perl/p5-math-round
p5.12-module-build             @0.420.300      perl/p5-module-build
p5.12-module-corelist          @3.10.0         perl/p5-module-corelist
p5.12-module-implementation    @0.60.0         perl/p5-module-implementation
p5.12-module-load              @0.240.0        perl/p5-module-load
p5.12-module-load-conditional  @0.540.0        perl/p5-module-load-conditional
p5.12-module-metadata          @1.0.14         perl/p5-module-metadata
p5.12-module-runtime           @0.13.0         perl/p5-module-runtime
p5.12-package-deprecationmanager @0.130.0        perl/p5-package-deprecationmanager
p5.12-package-stash            @0.250.0        perl/p5-package-stash
p5.12-package-stash-xs         @0.210.0        perl/p5-package-stash-xs
p5.12-params-check             @0.380.0        perl/p5-params-check
p5.12-params-util              @1.30.0         perl/p5-params-util
p5.12-params-validate          @1.0.0          perl/p5-params-validate
p5.12-parent                   @0.224.0        perl/p5-parent
p5.12-perl-ostype              @1.3.0          perl/p5-perl-ostype
p5.12-perl-tidy                @20101217       perl/p5-perl-tidy
p5.12-sub-exporter             @0.985.0        perl/p5-sub-exporter
p5.12-sub-install              @0.925.0        perl/p5-sub-install
p5.12-sub-uplevel              @0.240.0        perl/p5-sub-uplevel
p5.12-test-exception           @0.320.0        perl/p5-test-exception
p5.12-test-fatal               @0.10.0         perl/p5-test-fatal
p5.12-test-leaktrace           @0.100.0        perl/p5-test-leaktrace
p5.12-test-requires            @0.60.0         perl/p5-test-requires
p5.12-test-simple              @0.980.0        perl/p5-test-simple
p5.12-try-tiny                 @0.110.0        perl/p5-try-tiny
p5.12-version                  @0.990.700      perl/p5-version
p5.12-yaml                     @0.730.0        perl/p5-yaml
pcre                           @8.33           devel/pcre
perl5                          @5.12.4         lang/perl5
perl5.12                       @5.12.4         lang/perl5.12
pkgconfig                      @0.28           devel/pkgconfig
protobuf-cpp                   @2.5.0          devel/protobuf-cpp
pth                            @2.0.7          devel/pth
py27-crypto                    @2.6.1          python/py-crypto
py27-curl                      @7.19.0         python/py-curl
py27-distribute                @0.7            python/py-distribute
py27-docutils                  @0.11           python/py-docutils
py27-gdbm                      @2.7.6          python/py-gdbm
py27-paramiko                  @1.11.2         python/py-paramiko
py27-pymacs                    @0.25           python/py-pymacs
py27-pyrex                     @0.9.9          python/py-pyrex
py27-roman                     @2.0.0          python/py-roman
py27-virtualenv                @1.10.1         python/py-virtualenv
python27                       @2.7.6          lang/python27
python_select                  @0.3            sysutils/python_select
readline                       @6.2.000        devel/readline
slib                           @3b2            devel/slib
sqlite3                        @3.8.2          databases/sqlite3
tcp_wrappers                   @20             net/tcp_wrappers
texinfo                        @5.2            textproc/texinfo
tiff                           @4.0.3          graphics/tiff
unrar                          @4.2.4          archivers/unrar
wget                           @1.14           net/wget
xorg-fixesproto                @5.0            x11/xorg-fixesproto
xorg-inputproto                @2.3            x11/xorg-inputproto
xorg-kbproto                   @1.0.6          x11/xorg-kbproto
xorg-libice                    @1.0.8          x11/xorg-libice
xorg-libpthread-stubs          @0.3            x11/xorg-libpthread-stubs
xorg-libsm                     @1.2.1          x11/xorg-libsm
xorg-libX11                    @1.6.2          x11/xorg-libX11
xorg-libXau                    @1.0.8          x11/xorg-libXau
xorg-libxcb                    @1.9.1          x11/xorg-libxcb
xorg-libXdmcp                  @1.1.1          x11/xorg-libXdmcp
xorg-libXext                   @1.3.2          x11/xorg-libXext
xorg-libXfixes                 @5.0.1          x11/xorg-libXfixes
xorg-libXi                     @1.7.2          x11/xorg-libXi
xorg-libxkbfile                @1.0.8          x11/xorg-libxkbfile
xorg-libxkbui                  @1.0.2          x11/xorg-libxkbui
xorg-libXt                     @1.1.4          x11/xorg-libXt
xorg-util-macros               @1.17.1         x11/xorg-util-macros
xorg-xcb-proto                 @1.8            x11/xorg-xcb-proto
xorg-xcmiscproto               @1.2.2          x11/xorg-xcmiscproto
xorg-xextproto                 @7.2.99.901     x11/xorg-xextproto
xorg-xf86bigfontproto          @1.2.0          x11/xorg-xf86bigfontproto
xorg-xproto                    @7.0.25         x11/xorg-xproto
xorg-xtrans                    @1.3.2          x11/xorg-xtrans
xz                             @5.0.5          archivers/xz
zlib                           @1.2.8          archivers/zlib
zsh                            @5.0.5          shells/zsh
